Event,Date,UTC_Time,TimeControl,Result,White,Black,WhiteElo,BlackElo,ECO,Opening,TotalMoves,TimeCategory,TimeOfDay,GameLength,ResultClass,RatingDiff
Live Chess,2025.05.04,01:03:54,600,0-1,alekscottz,Crazyreed_123,1509,1569,C25,,15,Blitz,Night,Short,Loss,-60
Live Chess,2025.05.03,22:23:11,600,0-1,alekscottz,ArmylessKnight,1509,1684,B12,,24,Blitz,Night,Short,Loss,-175
Live Chess,2025.05.03,22:19:35,600,1-0,alekscottz,radodab,1509,1514,B23,,33,Blitz,Night,Medium,Win,-5
Live Chess,2025.05.03,20:25:00,600,0-1,alekscottz,timewavedecay,1509,1507,B07,,14,Blitz,Evening,Short,Loss,2
Live Chess,2025.05.03,20:19:28,600,1-0,alekscottz,fox1708,1509,1801,B01,,49,Blitz,Evening,Medium,Win,-292
Live Chess,2025.05.03,20:16:33,120+1,0-1,alekscottz,i_v_a_n,1197,1232,C25,,7,Bullet,Evening,Short,Loss,-35
Live Chess,2025.05.03,20:13:21,120+1,0-1,alekscottz,Sonnka8489,1205,1201,B23,,44,Bullet,Evening,Medium,Loss,4
Live Chess,2025.05.03,20:10:00,120+1,1/2-1/2,C-Wrecks,alekscottz,1238,1213,A40,,59,Bullet,Evening,Medium,Draw,-25
Live Chess,2025.05.03,20:06:23,120+1,1-0,ArthurMorgan2210,alekscottz,1240,1212,B00,,19,Bullet,Evening,Short,Loss,-28
Live Chess,2025.05.03,19:21:11,120+1,0-1,jonnie2000,alekscottz,1270,1220,B10,,70,Bullet,Evening,Long,Win,-50
Live Chess,2025.05.03,18:59:40,600,0-1,alekscottz,Admiral_Jacc,1509,1704,C25,,18,Blitz,Evening,Short,Loss,-195
Live Chess,2025.05.03,18:47:56,600,1-0,alekscottz,Alcinoo_0,1509,1819,B23,,45,Blitz,Evening,Medium,Win,-310
Live Chess,2025.05.03,18:19:59,600,1-0,devonmlancaster,alekscottz,1772,1509,B15,,45,Blitz,Evening,Medium,Loss,-263
Live Chess,2025.05.03,18:14:26,600,1-0,alekscottz,HopetogetBetter247,1509,1578,B01,,37,Blitz,Evening,Medium,Win,-69
Live Chess,2025.05.03,18:08:18,600,0-1,NbkNickD,alekscottz,1638,1509,B10,,34,Blitz,Evening,Medium,Win,-129
Let's Play!,2025.04.13,03:39:45,1/259200,1-0,alekscottz,speechan,1230,871,C28,,35,Daily,Night,Medium,Win,359
Live Chess,2025.05.03,14:35:20,600,0-1,alekscottz,Mauzartr,1509,1695,C17,,57,Blitz,Afternoon,Medium,Loss,-186
Live Chess,2025.05.03,14:19:44,600,1/2-1/2,alekscottz,Waynala,1509,1506,C28,,64,Blitz,Afternoon,Long,Draw,3
Live Chess,2025.05.03,14:15:26,600,1-0,alekscottz,JEMI_GAMAL,1509,1549,B01,,29,Blitz,Afternoon,Short,Win,-40
Live Chess,2025.05.03,14:07:38,600,1-0,alekscottz,Lenny_Chess09,1509,1953,C28,,29,Blitz,Afternoon,Short,Win,-444
Live Chess,2025.05.03,13:26:48,600,1-0,alekscottz,CXCsniper420,1509,1702,B12,,133,Blitz,Afternoon,Long,Win,-193
Live Chess,2025.05.03,13:22:54,600,0-1,alekscottz,playfaster3,1509,1708,C25,,24,Blitz,Afternoon,Short,Loss,-199
Live Chess,2025.05.03,00:34:49,120+1,1-0,alekscottz,ihsanfa,1210,1220,B00,,123,Bullet,Night,Long,Win,-10
Live Chess,2025.05.03,00:32:11,120+1,1-0,caelumkim-sanders,alekscottz,1261,1201,B12,,37,Bullet,Night,Medium,Loss,-60
Live Chess,2025.05.02,22:32:49,600,1-0,alekscottz,samsoftx,1509,1507,C25,,63,Blitz,Night,Long,Win,2
Live Chess,2025.05.02,22:08:56,600,1-0,CaymanLA,alekscottz,1503,1509,B13,,47,Blitz,Night,Medium,Loss,6
Live Chess,2025.05.02,20:07:46,600,0-1,alekscottz,Mock50,1509,1503,C28,,52,Blitz,Evening,Medium,Loss,6
Live Chess,2025.05.02,20:02:08,600,1-0,iiSlaXii,alekscottz,1520,1509,A04,,35,Blitz,Evening,Medium,Loss,-11
Live Chess,2025.05.02,13:07:08,600,0-1,alekscottz,Jako2r,1509,2045,B01,,14,Blitz,Afternoon,Short,Loss,-536
Live Chess,2025.05.02,13:04:17,600,0-1,alekscottz,HiddenAcount,1509,1617,B23,,38,Blitz,Afternoon,Medium,Loss,-108
Live Chess,2025.05.02,02:11:04,600,1-0,Wali252,alekscottz,1601,1509,B10,,25,Blitz,Night,Short,Loss,-92
Live Chess,2025.05.02,01:41:55,600,0-1,alekscottz,olli1087,1509,1638,B15,,21,Blitz,Night,Short,Loss,-129
Live Chess,2025.05.01,19:29:55,600,1-0,FreshDumbledore14,alekscottz,1508,1509,B10,,13,Blitz,Evening,Short,Loss,1
Live Chess,2025.05.01,19:08:37,600,1-0,alekscottz,cheikh68,1509,1510,B23,,61,Blitz,Evening,Long,Win,-1
Live Chess,2025.05.01,18:41:18,600,0-1,alekscottz,ZugZhuangZi,1509,1522,B23,,88,Blitz,Evening,Long,Loss,-13
Live Chess,2025.05.01,18:29:51,600,1-0,alekscottz,Stokastisk,1509,1609,C28,,67,Blitz,Evening,Long,Win,-100
Live Chess,2025.05.01,15:17:32,600,0-1,alekscottz,Tekerezahakim,1509,1508,C25,,46,Blitz,Afternoon,Medium,Loss,1
Live Chess,2025.05.01,15:05:19,600,1-0,VelocityAE,alekscottz,1795,1509,E62,,27,Blitz,Afternoon,Short,Loss,-286
Live Chess,2025.05.01,14:59:14,600,1-0,alekscottz,OpulchenecutNaShipka,1509,1773,B12,,41,Blitz,Afternoon,Medium,Win,-264
Live Chess,2025.05.01,14:56:01,600,0-1,hard_bot0405,alekscottz,1881,1509,D06,,22,Blitz,Afternoon,Short,Win,-372
Live Chess,2025.05.01,14:27:18,600,0-1,alekscottz,TheLeonight,1509,1600,B15,,23,Blitz,Afternoon,Short,Loss,-91
Live Chess,2025.05.01,14:04:54,600,1/2-1/2,alekscottz,NguyenCongVinhChess,1509,2103,B23,,119,Blitz,Afternoon,Long,Draw,-594
Live Chess,2025.05.01,13:50:03,600,0-1,alekscottz,The_Losing_Clown,1509,1534,B23,,42,Blitz,Afternoon,Medium,Loss,-25
Live Chess,2025.05.01,13:45:38,600,0-1,alekscottz,AlaaFarouq23,1509,1539,C25,,38,Blitz,Afternoon,Medium,Loss,-30
Live Chess,2023.03.30,20:48:08,180,1-0,BorskieUSA,alekscottz,796,733,A40,,59,Blitz,Evening,Medium,Loss,-63
Live Chess,2023.03.30,20:15:46,180,0-1,BruceHoosier1,alekscottz,701,740,B23,,74,Blitz,Evening,Long,Win,39
Live Chess,2023.03.30,20:11:10,180,0-1,alekscottz,BabaYaga3615,733,713,C28,,54,Blitz,Evening,Medium,Loss,20
Live Chess,2023.03.30,20:04:01,180,1-0,alekscottz,rcheh075,742,715,B10,,63,Blitz,Evening,Long,Win,27
Live Chess,2023.03.30,20:02:48,180,1-0,MajesticM00se,alekscottz,681,734,B33,,15,Blitz,Evening,Short,Loss,53
Live Chess,2023.03.30,00:22:17,180,1-0,HiltonBe,alekscottz,785,744,A40,,71,Blitz,Night,Long,Loss,-41
Live Chess,2023.03.30,00:14:01,180,0-1,alekscottz,Mghwater,751,724,C25,,92,Blitz,Night,Long,Loss,27
Live Chess,2023.03.30,00:10:10,180,0-1,LSSLREL,alekscottz,728,760,B21,,48,Blitz,Night,Medium,Win,32
Live Chess,2023.03.30,00:00:47,180,1/2-1/2,notSya,alekscottz,749,752,B33,,68,Blitz,Night,Long,Draw,3
Live Chess,2023.03.29,01:19:08,180,1-0,MoisB2,alekscottz,789,752,B21,,70,Blitz,Night,Long,Loss,-37
Live Chess,2023.03.29,01:13:14,180,0-1,alekscottz,balvis4,760,824,A02,,50,Blitz,Night,Medium,Loss,-64
Live Chess,2023.03.29,00:56:48,180,0-1,alekscottz,vsdgsvsdsdv,767,745,B20,,24,Blitz,Night,Short,Loss,22
Live Chess,2023.03.28,01:30:38,180,0-1,alekscottz,oDismal,776,796,B01,,60,Blitz,Night,Long,Loss,-20
Live Chess,2023.03.27,19:47:31,180,0-1,alekscottz,jakecutt78,784,763,C41,,14,Blitz,Evening,Short,Loss,21
Live Chess,2023.03.27,19:42:16,180,0-1,bobthunicorn,alekscottz,803,793,D02,,52,Blitz,Evening,Medium,Win,-10
Live Chess,2023.03.27,19:36:45,180,1-0,Gundulf13,alekscottz,767,784,A40,,59,Blitz,Evening,Medium,Loss,17
Live Chess,2023.03.27,16:39:58,180,1-0,timmay740,alekscottz,820,793,A40,,71,Blitz,Afternoon,Long,Loss,-27
Live Chess,2023.03.27,16:35:27,180,1-0,alekscottz,EduardoFerran,801,712,C23,,29,Blitz,Afternoon,Short,Win,89
Live Chess,2023.03.27,16:31:16,180,1-0,alekscottz,xXXxZWAGxXXx,795,762,C23,,15,Blitz,Afternoon,Short,Win,33
Live Chess,2023.03.27,15:36:56,180,1-0,sandshan,alekscottz,763,787,B20,,71,Blitz,Afternoon,Long,Loss,24
Live Chess,2023.03.27,15:28:44,180,1-0,ADJA_SLIMANI,alekscottz,769,796,B23,,65,Blitz,Afternoon,Long,Loss,27
Live Chess,2023.03.27,15:23:41,180,0-1,alekscottz,teobeplam,805,818,C26,,58,Blitz,Afternoon,Medium,Loss,-13
Live Chess,2023.03.27,14:53:01,180,0-1,German1275,alekscottz,810,813,B23,,30,Blitz,Afternoon,Medium,Win,3
Live Chess,2023.03.27,02:37:34,180,0-1,alekscottz,gannertallant,805,800,C00,,50,Blitz,Night,Medium,Loss,5
Live Chess,2023.03.27,02:31:41,180,1-0,alekscottz,Lemonsqueezedjuice,814,820,C25,,37,Blitz,Night,Medium,Win,-6
Live Chess,2023.03.27,02:20:46,180,0-1,alekscottz,martinpettifer,805,881,B10,,46,Blitz,Night,Medium,Loss,-76
Live Chess,2023.03.27,00:37:16,180,1-0,Asaragus,alekscottz,910,813,A40,,25,Blitz,Night,Short,Loss,-97
Live Chess,2023.03.27,00:31:46,180,0-1,boatcocaineandhooker,alekscottz,807,819,A41,,24,Blitz,Night,Short,Win,12
Live Chess,2023.03.27,00:27:07,180,1-0,alekscottz,fisticvffs,811,771,B10,,37,Blitz,Night,Medium,Win,40
Live Chess,2023.03.27,00:22:38,180,1-0,hudmuffin,alekscottz,786,804,A40,,69,Blitz,Night,Long,Loss,18
Live Chess,2023.03.27,00:16:42,180,0-1,alekscottz,spectre315,813,840,C47,,34,Blitz,Night,Medium,Loss,-27
Live Chess,2023.03.26,18:11:18,180,1-0,PikaGambit,alekscottz,866,821,A04,,59,Blitz,Evening,Medium,Loss,-45
Live Chess,2023.03.26,18:08:22,180,0-1,altundal77,alekscottz,841,828,B21,,24,Blitz,Evening,Short,Win,-13
Live Chess,2023.03.25,03:06:45,180,0-1,alekscottz,touristinmyownlife,819,821,C28,,46,Blitz,Night,Medium,Loss,-2
Live Chess,2023.03.25,03:02:02,180,0-1,alekscottz,R_Cooper,827,857,C50,,48,Blitz,Night,Medium,Loss,-30
Live Chess,2023.03.25,02:50:59,180,0-1,unesteban,alekscottz,799,835,B20,,94,Blitz,Night,Long,Win,36
Live Chess,2023.03.25,02:46:24,180,0-1,alekscottz,body1234566,827,863,C28,,68,Blitz,Night,Long,Loss,-36
Live Chess,2023.03.25,02:40:41,180,1-0,Tumeke1969,alekscottz,825,835,B50,,45,Blitz,Night,Medium,Loss,10
Live Chess,2023.03.25,01:11:03,180,0-1,alekscottz,oogabooga1238,844,866,B20,,64,Blitz,Night,Long,Loss,-22
Live Chess,2023.03.24,05:28:31,180,0-1,alekscottz,zentoshicrypto,852,915,B00,,56,Blitz,Morning,Medium,Loss,-63
Live Chess,2023.03.24,05:26:28,180,0-1,Maglovache,alekscottz,825,859,B33,,36,Blitz,Morning,Medium,Win,34
Live Chess,2023.03.24,05:13:41,180,0-1,alekscottz,Vexdeus,851,851,B01,,98,Blitz,Morning,Long,Loss,0
Live Chess,2023.03.24,05:08:14,180,0-1,CK_Unknown,alekscottz,778,859,B23,,24,Blitz,Morning,Short,Win,81
Live Chess,2023.03.24,05:03:47,180,0-1,TheMILKMAN556,alekscottz,698,853,B21,,40,Blitz,Morning,Medium,Win,155
Live Chess,2023.03.24,04:55:47,180,0-1,alekscottz,vespyo,848,854,B02,,64,Blitz,Night,Long,Loss,-6
Live Chess,2023.03.24,04:53:02,180,1-0,alekscottz,Astr4l_qt,858,789,C25,,37,Blitz,Night,Medium,Win,69
Live Chess,2023.03.24,04:48:34,180,0-1,Crebbbo,alekscottz,913,851,B21,,44,Blitz,Night,Medium,Win,-62
Live Chess,2023.03.24,04:45:22,180,1-0,alekscottz,jarrroodd,841,762,A02,,6,Blitz,Night,Short,Win,79
Live Chess,2023.03.24,04:42:18,180,1-0,Mohamedhatem75,alekscottz,738,834,B21,,41,Blitz,Night,Medium,Loss,96
Live Chess,2023.03.24,04:32:01,180,1-0,Vicky_paiiyya,alekscottz,806,845,B13,,69,Blitz,Night,Long,Loss,39
Live Chess,2023.03.23,23:58:29,180,1-0,alekscottz,imunabletobreathe2,854,768,B10,,79,Blitz,Night,Long,Win,86
Live Chess,2023.03.23,23:15:09,180,0-1,alekscottz,mazfak,847,892,A02,,48,Blitz,Night,Medium,Loss,-45
Live Chess,2023.03.23,23:11:51,180,0-1,NewLupa,alekscottz,773,854,B20,,48,Blitz,Night,Medium,Win,81
Live Chess,2023.03.23,23:06:01,180,1-0,AliArnab,alekscottz,971,848,B23,,89,Blitz,Night,Long,Loss,-123
Live Chess,2023.03.23,18:12:04,180,0-1,alekscottz,tonny3p,854,884,B10,,46,Blitz,Evening,Medium,Loss,-30
Live Chess,2023.03.23,18:03:45,180,0-1,Hulkarm,alekscottz,824,862,A43,,50,Blitz,Evening,Medium,Win,38
Live Chess,2023.03.23,17:57:18,180,0-1,Tokyo7056,alekscottz,825,855,B23,,54,Blitz,Evening,Medium,Win,30
Live Chess,2023.03.23,17:52:48,180,1-0,alekscottz,lightingmacqueen84,847,876,C23,,53,Blitz,Evening,Medium,Win,-29
Live Chess,2023.03.23,17:46:42,180,1/2-1/2,alekscottz,Diameter135,838,857,C50,,78,Blitz,Evening,Long,Draw,-19
Live Chess,2023.03.23,17:09:59,180,1-0,liebich23,alekscottz,873,838,B23,,55,Blitz,Evening,Medium,Loss,-35
Live Chess,2023.03.23,17:06:19,180,0-1,malekchess1234,alekscottz,796,846,B30,,40,Blitz,Evening,Medium,Win,50
Live Chess,2023.03.23,17:01:57,180,1-0,alekscottz,rxbert23456,839,762,B01,,25,Blitz,Evening,Short,Win,77
Live Chess,2023.03.23,16:58:25,180,0-1,alekscottz,IsaoJun,832,793,C50,,42,Blitz,Afternoon,Medium,Loss,39
Live Chess,2023.03.23,16:55:52,180,0-1,fffdddsssiii,alekscottz,756,842,B20,,24,Blitz,Afternoon,Short,Win,86
Live Chess,2023.03.23,03:37:37,180,0-1,alekscottz,Mythicalglory301320,835,804,B00,,68,Blitz,Night,Long,Loss,31
Live Chess,2023.03.23,03:32:05,180,1-0,chessking449,alekscottz,922,845,B21,,63,Blitz,Night,Long,Loss,-77
Live Chess,2023.03.23,03:28:24,180,1-0,Carljovic,alekscottz,910,854,B31,,54,Blitz,Night,Medium,Loss,-56
Live Chess,2023.03.23,03:18:44,180,1-0,alekscottz,Crims0nRose,862,901,C23,,61,Blitz,Night,Long,Win,-39
Live Chess,2023.03.23,03:09:27,180,1/2-1/2,alekscottz,ItsAriel35,851,756,B02,,109,Blitz,Night,Long,Draw,95
Live Chess,2023.03.23,03:08:21,180,1-0,alekscottz,khaliddestroyer11,854,796,B00,,5,Blitz,Night,Short,Win,58
Live Chess,2023.03.23,03:02:27,180,1-0,alekscottz,cop89,845,938,C23,,77,Blitz,Night,Long,Win,-93
Live Chess,2023.03.22,21:47:21,180,0-1,enzolorenzo122,alekscottz,740,832,B23,,48,Blitz,Night,Medium,Win,92
Live Chess,2023.03.22,21:41:37,180,1-0,erfanai,alekscottz,753,824,B20,,77,Blitz,Night,Long,Loss,71
Live Chess,2023.03.22,21:17:55,180,1-0,12Papillon12,alekscottz,854,837,B50,,95,Blitz,Night,Long,Loss,-17
Live Chess,2023.03.22,20:40:41,180,1-0,alekscottz,gappc,848,774,C25,,107,Blitz,Evening,Long,Win,74
Live Chess,2023.03.22,20:35:03,180,1-0,alekscottz,thanaveenvenkatesh,839,946,C26,,95,Blitz,Evening,Long,Win,-107
Live Chess,2023.03.22,19:31:52,180,0-1,sakulinho,alekscottz,818,823,B23,,70,Blitz,Evening,Long,Win,5
Live Chess,2023.03.22,19:30:44,180,1-0,c4rlos62,alekscottz,905,811,B23,,27,Blitz,Evening,Short,Loss,-94
Live Chess,2023.03.22,18:32:05,180,0-1,davitxhov,alekscottz,783,821,B30,,56,Blitz,Evening,Medium,Win,38
Live Chess,2023.03.22,18:27:15,180,0-1,alekscottz,SheeeeshFaCe,809,811,C50,,58,Blitz,Evening,Medium,Loss,-2
Live Chess,2023.03.22,18:18:56,180,0-1,buzzkiller22481,alekscottz,726,823,A40,,82,Blitz,Evening,Long,Win,97
Live Chess,2023.03.22,18:13:24,180,0-1,alekscottz,IEYANPE,812,890,C25,,126,Blitz,Evening,Long,Loss,-78
Live Chess,2023.03.22,16:21:56,180,1-0,alekscottz,New_2_Chess13,824,742,B01,,47,Blitz,Afternoon,Medium,Win,82
Live Chess,2023.03.22,15:59:37,180,1-0,alekscottz,ManishMaanii,811,864,C25,,77,Blitz,Afternoon,Long,Win,-53
Live Chess,2023.03.22,15:46:00,180,0-1,N4M1NH0,alekscottz,719,792,A40,,50,Blitz,Afternoon,Medium,Win,73
Live Chess,2023.03.22,05:15:19,180,0-1,alekscottz,BATTERFLY3,778,763,C44,,114,Blitz,Morning,Long,Loss,15
Live Chess,2023.03.22,05:12:43,180,1-0,Royv711223,alekscottz,837,797,B20,,67,Blitz,Morning,Long,Loss,-40
Live Chess,2023.03.22,05:07:02,180,0-1,alekscottz,MineSki1403,814,888,B01,,76,Blitz,Morning,Long,Loss,-74
Live Chess,2023.03.21,19:31:34,180,0-1,Hulexa,alekscottz,859,830,B34,,74,Blitz,Evening,Long,Win,-29
Live Chess,2023.03.21,19:26:09,180,0-1,GMbrains,alekscottz,834,807,B30,,92,Blitz,Evening,Long,Win,-27
Live Chess,2023.03.21,19:21:08,180,1-0,KabeQ,alekscottz,808,783,B23,,87,Blitz,Evening,Long,Loss,-25
Live Chess,2023.03.21,19:16:03,180,1-0,alekscottz,toshatav,805,753,A02,,101,Blitz,Evening,Long,Win,52
Live Chess,2023.03.21,19:08:31,180,1-0,ShadabAndar,alekscottz,889,783,B20,,69,Blitz,Evening,Long,Loss,-106
Live Chess,2023.03.21,19:02:16,180,0-1,Rumex142,alekscottz,787,802,B51,,56,Blitz,Evening,Medium,Win,15
Live Chess,2023.03.21,18:52:02,180,0-1,alekscottz,retionly42,774,901,C24,,18,Blitz,Evening,Short,Loss,-127
Live Chess,2023.03.21,18:51:13,180,1-0,alekscottz,ginobuonvino03,795,710,B00,,3,Blitz,Evening,Short,Win,85
Live Chess,2023.03.21,18:45:12,180,1-0,alekscottz,lebaguettetim,768,561,C47,,57,Blitz,Evening,Medium,Win,207
Live Chess,2023.03.21,14:23:04,180,0-1,aird-t,alekscottz,662,747,A40,,92,Blitz,Afternoon,Long,Win,85
Live Chess,2023.03.21,14:19:57,180,0-1,alekscottz,nyima_04,716,716,C23,,40,Blitz,Afternoon,Medium,Loss,0
Live Chess,2023.03.21,14:14:12,180,0-1,Mizzzen,alekscottz,683,763,B50,,52,Blitz,Afternoon,Medium,Win,80
Live Chess,2023.03.21,14:09:57,180,1-0,alekscottz,Carlossint,722,626,B01,,53,Blitz,Afternoon,Medium,Win,96
Live Chess,2023.03.21,05:18:51,180,1-0,itay3282,alekscottz,790,677,B23,,53,Blitz,Morning,Medium,Loss,-113
Live Chess,2023.03.21,05:14:18,180,1-0,BreadCrumbs1501,alekscottz,808,728,B50,,71,Blitz,Morning,Long,Loss,-80
Live Chess,2023.03.21,03:32:24,180,0-1,alekscottz,IIIIIIIuke,802,953,B10,,46,Blitz,Night,Medium,Loss,-151
Live Chess,2023.03.21,03:28:13,180,1-0,johnwickexcommunicado,alekscottz,1108,877,B20,,53,Blitz,Night,Medium,Loss,-231
Live Chess,2023.03.21,03:24:22,180,1-0,Blunderwar,alekscottz,1116,950,B23,,93,Blitz,Night,Long,Loss,-166
Live Chess,2023.03.21,03:21:02,60,1-0,Evan3456728764,alekscottz,1005,934,D00,,71,Bullet,Night,Long,Loss,-71
Live Chess,2023.03.21,03:18:42,60,1-0,alekscottz,elpolloleon,1033,833,C00,,79,Bullet,Night,Long,Win,200
Live Chess,2023.03.21,03:16:55,60,0-1,alekscottz,nyctrader1,949,1115,B07,,52,Bullet,Night,Medium,Loss,-166
Live Chess,2023.03.21,02:52:10,600,1-0,alekscottz,WeakIinqz,1145,1201,C26,,59,Blitz,Night,Medium,Win,-56
Live Chess,2023.03.20,19:34:01,600,0-1,Serialcutter,alekscottz,1063,1135,A40,,63,Blitz,Evening,Long,Win,72
Live Chess,2023.03.20,18:41:30,600,0-1,bon_hwa1,alekscottz,1140,1128,B21,,54,Blitz,Evening,Medium,Win,-12
Live Chess,2023.03.20,00:07:45,600,1-0,alekscottz,cashewwnutt,1119,1080,C00,,71,Blitz,Night,Long,Win,39
Live Chess,2023.03.19,23:51:08,600,1-0,alekscottz,Fredyelmago,1112,1053,B00,,45,Blitz,Night,Medium,Win,59
Live Chess,2023.03.19,23:35:03,600,0-1,FJG11,alekscottz,1087,1105,B20,,130,Blitz,Night,Long,Win,18
Live Chess,2023.03.19,21:37:25,600,1-0,alekscottz,curgreer,1097,1001,C28,,85,Blitz,Night,Long,Win,96
Live Chess,2023.03.19,18:42:12,600,1-0,venus143728,alekscottz,1065,1091,B20,,37,Blitz,Evening,Medium,Loss,26
Live Chess,2023.03.19,18:37:59,600,1-0,W-Vanskie,alekscottz,1087,1100,B51,,27,Blitz,Evening,Short,Loss,13
Live Chess,2023.03.19,18:22:53,600,1-0,AndreCarve,alekscottz,1094,1109,B23,,75,Blitz,Evening,Long,Loss,15
Live Chess,2023.03.19,18:14:46,600,1-0,alekscottz,TitanXVortex,1118,1130,C25,,37,Blitz,Evening,Medium,Win,-12
Live Chess,2023.03.18,18:37:34,600,1-0,alekscottz,Min772,1109,1075,B01,,69,Blitz,Evening,Long,Win,34
Live Chess,2023.03.18,12:39:04,600,1-0,alekscottz,charmutter,1101,1086,C26,,28,Blitz,Afternoon,Short,Win,15
Live Chess,2023.03.18,04:18:40,600,1/2-1/2,RATSIAVALINONY,alekscottz,1130,1093,B22,,101,Blitz,Night,Long,Draw,-37
Live Chess,2023.03.18,04:13:09,600,0-1,Harvey_chessboy,alekscottz,1051,1092,B23,,13,Blitz,Night,Short,Win,41
Live Chess,2023.03.18,03:56:53,600,1-0,alekscottz,Chess_Tactic_101,1084,1056,C25,,131,Blitz,Night,Long,Win,28
Live Chess,2023.03.18,03:43:26,600,1-0,alekscottz,hansraj79,1076,1044,C25,,32,Blitz,Night,Medium,Win,32
Live Chess,2023.03.18,00:32:05,600,1/2-1/2,Broncost,alekscottz,1051,1068,B20,,136,Blitz,Night,Long,Draw,17
Live Chess,2023.03.18,00:25:11,600,0-1,rapoco,alekscottz,1048,1068,A40,,21,Blitz,Night,Short,Win,20
Live Chess,2023.03.18,00:07:47,600,1-0,tombombprod,alekscottz,1052,1060,A40,,69,Blitz,Night,Long,Loss,8
Live Chess,2023.03.17,23:49:43,600,0-1,alekscottz,gp3737,1069,1106,B07,,137,Blitz,Night,Long,Loss,-37
Live Chess,2023.03.17,23:30:25,600,0-1,alekscottz,jayzwirblis,1076,1097,B10,,60,Blitz,Night,Long,Loss,-21
Live Chess,2023.03.17,18:12:13,600,0-1,010101b,alekscottz,1035,1084,B21,,28,Blitz,Evening,Short,Win,49
Live Chess,2023.03.17,17:37:55,600,0-1,sujitroy1,alekscottz,1075,1077,B23,,58,Blitz,Evening,Medium,Win,2
Live Chess,2023.03.17,03:42:15,600,1-0,alekscottz,Jvcunha2002,1069,1032,B23,,19,Blitz,Night,Short,Win,37
Live Chess,2023.03.17,03:22:08,600,1-0,alekscottz,tachin22,1061,1036,C25,,83,Blitz,Night,Long,Win,25
Live Chess,2023.03.16,22:21:20,600,1-0,alekscottz,cyrille1972,1053,1037,C02,,137,Blitz,Night,Long,Win,16
Live Chess,2023.03.16,01:52:21,600,1/2-1/2,trulyjustj,alekscottz,1114,1045,A40,,89,Blitz,Night,Long,Draw,-69
Live Chess,2023.03.16,01:35:46,600,1-0,alekscottz,tyno1132,1043,1074,C25,,69,Blitz,Night,Long,Win,-31
Live Chess,2023.03.16,01:03:25,600,1/2-1/2,shanonkhezrinassab,alekscottz,1014,1034,B20,,50,Blitz,Night,Medium,Draw,20
Live Chess,2023.03.16,00:53:41,600,0-1,GandalfG0AT,alekscottz,991,1035,B23,,44,Blitz,Night,Medium,Win,44
Live Chess,2023.03.16,00:44:39,600,1-0,alekscottz,iamthethinkerbro,1028,1007,C28,,26,Blitz,Night,Short,Win,21
Live Chess,2023.03.16,00:32:39,600,0-1,alekscottz,Alexsomg5678,1020,1074,C28,,32,Blitz,Night,Medium,Loss,-54
Live Chess,2023.03.15,23:38:49,600,1-0,tgillespie03,alekscottz,1007,1027,C41,,83,Blitz,Night,Long,Loss,20
Live Chess,2023.03.15,23:25:54,600,0-1,rconsue1,alekscottz,1016,1036,B75,,50,Blitz,Night,Medium,Win,20
Live Chess,2023.03.15,23:16:22,600,0-1,alekscottz,noahtoenails,1028,1061,C00,,50,Blitz,Night,Medium,Loss,-33
Live Chess,2023.03.15,20:09:10,600,1-0,alekscottz,UnreasonableChess,1036,981,C28,,79,Blitz,Evening,Long,Win,55
Live Chess,2023.03.15,18:23:05,600,0-1,alekscottz,zacscott15,1029,1006,C25,,44,Blitz,Evening,Medium,Loss,23
Live Chess,2023.03.15,18:06:55,600,1-0,GiulioPharix,alekscottz,1048,1038,B30,,59,Blitz,Evening,Medium,Loss,-10
Live Chess,2023.03.15,17:58:40,600,0-1,alekscottz,RichardBobAdams,1046,1101,C27,,74,Blitz,Evening,Long,Loss,-55
Live Chess,2023.03.15,02:46:14,600,1-0,SoggzyBogues,alekscottz,1043,1053,A40,,25,Blitz,Night,Short,Loss,10
Live Chess,2023.03.15,01:45:13,600,1-0,Gabbork,alekscottz,1039,1062,B30,,21,Blitz,Night,Short,Loss,23
Live Chess,2023.03.15,01:20:03,600,0-1,cynicon,alekscottz,1037,1071,A30,,82,Blitz,Night,Long,Win,34
Live Chess,2023.03.14,14:57:27,600,0-1,alekscottz,waldemarkowalski,1063,1068,C25,,124,Blitz,Afternoon,Long,Loss,-5
Live Chess,2023.03.14,05:26:52,600,0-1,kasparov131313,alekscottz,1052,1071,B30,,96,Blitz,Morning,Long,Win,19
Live Chess,2023.03.14,05:08:59,600,0-1,sbkim42,alekscottz,1014,1063,C02,,122,Blitz,Morning,Long,Win,49
Live Chess,2023.03.14,01:18:51,600,1-0,alekscottz,duncanww,1056,1025,C50,,69,Blitz,Night,Long,Win,31
Live Chess,2023.03.13,22:43:00,600,1/2-1/2,alekscottz,yiannnnnni,1048,1056,B01,,129,Blitz,Night,Long,Draw,-8
Live Chess,2023.03.13,22:36:55,600,0-1,alekscottz,sawosz03,1048,1023,B07,,52,Blitz,Night,Medium,Loss,25
Live Chess,2023.03.13,17:32:04,600,1-0,alekscottz,ddfghyyd,1057,1025,C26,,89,Blitz,Evening,Long,Win,32
Live Chess,2023.03.13,17:12:26,600,0-1,RedVerma,alekscottz,1060,1049,B50,,90,Blitz,Evening,Long,Win,-11
